"","id","nombre","tipo","administracao_direta","institucion_padre_id","sigla","codigo","activa","data_criacao_lei","data_ativacao","data_inativacao","data_edicao","natureza_juridica_id","justificativa_inativacao_id","justificativa_outros","sigla_nome","nome","nome_home","grupo_ativo","situacao"
"143",1391,"Ministério da Gestão e da Inovação em Serviços Públicos","orgao",1,NA,"MGISP","308803",1,"2023-01-01","2023-01-27",NA,NA,NA,NA,NA,"MGISP - Ministério da Gestão e da Inovação em Serviços Públicos","Ministério da Gestão e da Inovação em Serviços Públicos","MGISP - Ministério da Gestão e da Inovação em Serviços Públicos (desde 27/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"144",1405,"Ministério da Igualdade Racial","orgao",1,NA,"MIR","308823",1,"2023-01-01","2023-02-06",NA,NA,NA,NA,NA,"MIR - Ministério da Igualdade Racial","Ministério da Igualdade Racial","MIR - Ministério da Igualdade Racial (desde 06/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"145",1393,"Ministério da Integração e do Desenvolvimento Regional","orgao",1,NA,"MIDR","308799",1,"2023-01-01","2023-01-01",NA,NA,NA,NA,NA,"MIDR - Ministério da Integração e do Desenvolvimento Regional","Ministério da Integração e do Desenvolvimento Regional","MIDR - Ministério da Integração e do Desenvolvimento Regional (desde 01/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"146",856,"Ministério da Justiça e Segurança Pública","orgao",1,NA,"MJSP","235881",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MJSP - Ministério da Justiça e Segurança Pública","Ministério da Justiça e Segurança Pública","MJSP - Ministério da Justiça e Segurança Pública (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"147",1413,"Ministério da Pesca e Aquicultura","orgao",1,NA,"MPA","308795",1,"2023-01-01","2023-02-15",NA,NA,NA,NA,NA,"MPA - Ministério da Pesca e Aquicultura","Ministério da Pesca e Aquicultura","MPA - Ministério da Pesca e Aquicultura (desde 15/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"148",1417,"Ministério da Previdência Social","orgao",1,NA,"MPS","308819",1,"2023-01-01","2023-02-27",NA,NA,NA,NA,NA,"MPS - Ministério da Previdência Social","Ministério da Previdência Social","MPS - Ministério da Previdência Social (desde 27/02/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"149",563,"Ministério da Saúde","orgao",1,NA,"MS","304",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MS - Ministério da Saúde","Ministério da Saúde","MS - Ministério da Saúde (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"150",1395,"Ministério das Cidades","orgao",1,NA,"MCID","308798",1,"2023-01-01","2023-01-01",NA,NA,NA,NA,NA,"MCID - Ministério das Cidades","Ministério das Cidades","MCID - Ministério das Cidades (desde 01/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
"151",860,"Ministério das Comunicações","orgao",1,NA,"MCOM","264359",1,"1900-01-01","2022-09-16",NA,NA,NA,NA,NA,"MCOM - Ministério das Comunicações","Ministério das Comunicações","MCOM - Ministério das Comunicações (desde 16/09/2022) - Ativo","Órgãos/Entidades ativos","ativo"
"152",1424,"Ministério das Mulheres","orgao",1,NA,"MMULHERES","308815",1,"2023-01-01","2023-01-01",NA,NA,NA,NA,NA,"MMULHERES - Ministério das Mulheres","Ministério das Mulheres","MMULHERES - Ministério das Mulheres (desde 01/01/2023) - Ativo","Órgãos/Entidades ativos","ativo"
